RFC,RAZÓN SOCIAL,TIPO PERSONA,SUPUESTO,FECHAS DE PRIMERA PUBLICACION,MONTO,Fecha de publicación (Con monto de acuerdo a la Ley de Transparencia
CGE891231NH6,COORPORACIÓN GEO SAB DE CV,M,CONDONADOS,16/01/2016,2714414716,15/01/2016
GBC9701015J8,"GEO BAJA CALIFORNIA, S.A. DE C.V.",M,CONDONADOS,01/03/2016,60016717,01/03/2016
GCB890417QD0,"GEO CASAS DEL BAJIO , S.A. DE C.V.",M,CONDONADOS,01/03/2016,7985043,01/03/2016
GED9001019N1,"GEO EDIFICACIONES, S.A. DE C.V.",M,CONDONADOS,01/03/2016,25403652,01/03/2016
GHI800123DW9,"GEO HOGARES IDEALES, S.A. DE C.V.",M,CONDONADOS,01/03/2016,62061964,01/03/2016
GJA8503193G5,"GEO JALISCO, S.A. DE C.V.",M,CONDONADOS,01/03/2016,50273234,01/03/2016
GMO971020G16,"GEO MONTERREY , S.A. DE C.V.",M,CONDONADOS,01/03/2016,21530378,01/03/2016
GMO980609KA1,"GEO MORELOS, S.A. DE C.V.",M,CONDONADOS,01/03/2016,10807506,01/03/2016
GNO870319UP5,"GEO NORESTE, S.A. DE C.V.",M,CONDONADOS,01/03/2016,49151418,01/03/2016
GPU9708291D0,"GEO PUEBLA, S.A. DE C.V.",M,CONDONADOS,01/03/2016,12544327,01/03/2017
GTA850320GJ2,"GEO TAMAULIPAS, S.A. DE C.V.",M,CONDONADOS,01/03/2016,20050897,24/02/2017
GVE9611145V1,"GEO VERACRUZ, S.A. DE C.V.",M,CONDONADOS,01/03/2016,34734635,01/03/2016
PTP0307097Q2,"PROMOTORA TURISTICA PLAYA VELA, S.A. DE C.V.",M,CONDONADOS,01/03/2016,11728126,24/02/2017
GGU851119CH2,"GEO GUERRERO, S.A. DE C.V.",M,CONDONADOS,01/04/2016,3380484,20/04/2017
COI001222UG1,"CONTROLADORA DE OPERACIONES DE INFRAESTRUCTURA, S.A. DE C.V.",M,CONDONADOS,16/09/2018,762200686,16/09/2018
EIC790601D74,EMPRESAS ICA S.A. B DE C.V. ,M,CONDONADOS,16/09/2018,4968608152,16/09/2018
